userid,nodeid,group,label,date_start,date_end,formatted,latitude,longitude,placeid,street_address,route,intersection,political,country,administrative_area_level_1,administrative_area_level_2,administrative_area_level_3,administrative_area_level_4,administrative_area_level_5,colloquial_area,locality,ward,sublocality,neighborhood,premise,subpremise,postal_code,natural_feature,airport,park,point_of_interest,floor,establishment,parking,post_box,postal_town,room,street_number,bus_station,train_station,transit_station,last_updated,last_retrieved
00663fdd-eaf7-4869-8388-180694397c14,96853421-020a-4ed3-a179-0322b156b5b2,location,BAGAMOYO PWANI TANZANIA,,,"Bagamoyo, Tanzania",-6.4456339,38.898941,ChIJU3AQkXyRXBgRFGfHnNifF6o,,,,,Tanzania,Pwani,Bagamoyo,,,,,Bagamoyo,,,,,,,,,,,,,,,,,,,,,8/3/2016 13:06,10/24/2016
00663fdd-eaf7-4869-8388-180694397c14,6ceaa299-13c4-48ae-9032-fd6669857b27,person,"DAR ES SALAAM, TANZANIA",,,"Dar es Salaam, Tanzania",-6.7923541,39.2083282,ChIJ8dabFq5LXBgR3aGGoCZrD5Q,,,,,Tanzania,Dar es Salaam,Kinondoni,,,,,Dar es Salaam,,,,,,,,,,,,,,,,,,,,,8/3/2016 13:06,10/24/2016
02abc5e9-9994-477a-b863-8581cb859c18,90243e7b-63dc-4d15-b03c-75a8f72d0dcd,location,AUB BEIRUT LEBANON,,,"Aub, Lebanon",33.902462,35.4821815,ChIJ9_WcdNQWHxURxKInFNiB4Gw,,,,,Lebanon,Beirut,Beirut,Jamiaa,,,,,,,,,,,,,,,,,,,,,,,,,5/24/2016 18:06,10/24/2016
02abc5e9-9994-477a-b863-8581cb859c18,ef42e748-8a19-4893-8e91-d3555fc7f0f2,location,AUB BEIRUT LEBANON,,,"Aub, Lebanon",33.902462,35.4821815,ChIJ9_WcdNQWHxURxKInFNiB4Gw,,,,,Lebanon,Beirut,Beirut,Jamiaa,,,,,,,,,,,,,,,,,,,,,,,,,5/24/2016 18:06,10/24/2016
02abc5e9-9994-477a-b863-8581cb859c18,fb56b19b-88e5-47e3-b8d5-d143bdad5cc6,person,"BEIRUT, LEBANON",,,"Beirut, Lebanon",33.8886299,35.4954796,ChIJj6eAWCEXHxURtDaY6bqCkXI,,,,,Lebanon,Beirut,Beirut,Msaytbeh,,,,Beirut,,,,,,,,,,,,,,,,,,,,,5/24/2016 18:06,10/24/2016
0338f765-8d07-4345-ae88-31b460d9fbf0,62f04437-5a53-4824-b3a7-a4554e154edd,person,"DAR ES SALAAM, TANZANIA",,,"Dar es Salaam, Tanzania",-6.7923541,39.2083282,ChIJ8dabFq5LXBgR3aGGoCZrD5Q,,,,,Tanzania,Dar es Salaam,Kinondoni,,,,,Dar es Salaam,,,,,,,,,,,,,,,,,,,,,8/18/2016 13:15,10/24/2016
0338f765-8d07-4345-ae88-31b460d9fbf0,ab6df409-a8d0-4db2-838d-133fdab34778,event,DAR ES SALAAM TANZANIA,7/1/2015,8/1/2015,"Dar es Salaam, Tanzania",-6.7923541,39.2083282,ChIJ8dabFq5LXBgR3aGGoCZrD5Q,,,,,Tanzania,Dar es Salaam,Kinondoni,,,,,Dar es Salaam,,,,,,,,,,,,,,,,,,,,,8/18/2016 13:15,10/24/2016
051823b9-1deb-4fff-b1cc-9d4ff9eeb1fc,ad551cf4-b6ff-4aa8-8fda-f3efa31151cd,person,"BRUMMANA, MOUNT LEBANON, LEBANON",,,"Brummana, Lebanon",33.885273,35.6386871,ChIJu7oqYRg8HxURjptat57yhgQ,,,,,Lebanon,Mount Lebanon,Matn,Brummana,,,,,,,,,,,,,,,,,,,,,,,,,7/29/2016 11:04,10/24/2016
051823b9-1deb-4fff-b1cc-9d4ff9eeb1fc,c37920dd-d8c1-475f-94ec-6a54d1dd7f5c,location,BEIT MERI MOUNT LEBANON LEBANON,,,"Beit Meri, Lebanon",33.8697777,35.6080856,ChIJrwzzarM9HxURuNqfGACuGp4,,,,,Lebanon,Jabal Lubnan,Matn,,,,,Beit Meri,,,,,,,,,,,,,,,,,,,,,7/29/2016 11:04,10/24/2016
051823b9-1deb-4fff-b1cc-9d4ff9eeb1fc,a3a4836e-4a65-4060-882e-5caa341daa96,location,SIN EL FIL MOUNT LEBANON LEBANON,,,"Sin el Fil, Lebanon",33.8779678,35.5399551,ChIJ760ntrMXHxURevuxivgB8y0,,,,,Lebanon,Mount Lebanon,Matn,Sin el Fil,,,,,,,,,,,,,,,,,,,,,,,,,7/29/2016 11:04,10/24/2016
051823b9-1deb-4fff-b1cc-9d4ff9eeb1fc,8b7f445b-6507-4224-a463-386d7901cbc1,location,BERYTECH TECHNOLOGICAL POLE ESIB BEIRUT MOUNT LEBANON LEBANON,,,"East Suburbs, Beirut 11-7503, Lebanon",33.864975,35.5622215,ChIJXZ7f7dYXHxURK_gCNYU2f3Q,,,,,Lebanon,Mount Lebanon,Matn,,,,,Beirut,,,,,,Nov-03,,,,,,,,,,,,,,,7/29/2016 11:04,10/24/2016
051823b9-1deb-4fff-b1cc-9d4ff9eeb1fc,8cca45b7-277b-47e4-aa93-e5e321ff292c,location,SIOUFI BEIRUT LEBANON,,,"Sioufi, Bayrut, Lebanon",33.8866043,35.5242386,ChIJV4ryw1QWHxURvtG0uSXOObY,,Sioufi,,,Lebanon,Beirut,Beirut,,,,,Bayrut,,,,,,,,,,,,,,,,,,,,,7/29/2016 11:04,10/24/2016
056a6b8c-9f92-42e8-85cf-2876c20bea1d,c2460b34-3fde-42c4-af35-295117061b11,person,"DAHR EL AIN, NORTH, LEBANON",,,"Dahr El Ain, Lebanon",34.3917885,35.8479576,ChIJm11tPCL3IRURrkJ6a9Tzwbw,,,,,Lebanon,North,Koura,,,,,Dahr El Ain,,,,,,,,,,,,,,,,,,,,,8/5/2016 9:03,10/24/2016
056a6b8c-9f92-42e8-85cf-2876c20bea1d,213a5b94-749b-4099-a2c8-355845ac20e6,location,TRIPOLI NORTH LEBANON,,,"Tripoli, Lebanon",34.4345932,35.8361626,ChIJM524nav2IRUReIXefVJSPDI,,,,,Lebanon,North,Tripoli,Tripoli,,,,Tripoli,,,,,,,,,,,,,,,,,,,,,8/5/2016 9:03,10/24/2016
056a6b8c-9f92-42e8-85cf-2876c20bea1d,8e3f1a10-1ccb-42ec-b8e0-88180e7f0b35,location,TRIPOLI NORTH LEBANON,,,"Tripoli, Lebanon",34.4345932,35.8361626,ChIJM524nav2IRUReIXefVJSPDI,,,,,Lebanon,North,Tripoli,Tripoli,,,,Tripoli,,,,,,,,,,,,,,,,,,,,,8/5/2016 9:03,10/24/2016
07987d94-587c-41f1-9ad5-b7ac8e9ccc75,b2cc261d-6a0f-421d-b52e-e0d7bf074c64,location,BEIRUT LEBANON,,,"Beirut, Lebanon",33.8937912,35.5017776,ChIJj6eAWCEXHxURtDaY6bqCkXI,,,,,Lebanon,Beirut,Beirut,Beirut,,,,Beirut,,,,,,,,,,,,,,,,,,,,,6/20/2016 9:49,10/24/2016
07987d94-587c-41f1-9ad5-b7ac8e9ccc75,12c171f5-499d-46e4-98c4-928042f534f2,person,"BEIRUT, LEBANON",,,"Beirut, Lebanon",33.8937912,35.5017776,ChIJj6eAWCEXHxURtDaY6bqCkXI,,,,,Lebanon,Beirut,Beirut,Beirut,,,,Beirut,,,,,,,,,,,,,,,,,,,,,6/20/2016 9:49,10/24/2016
