"latitude","longitude"
33.9024620,35.4821815
33.9024620,35.4821815
33.8886299,35.4954796
33.8649750,35.5622215
33.8866043,35.5242386
33.8937912,35.5017776
33.8937912,35.5017776
33.8937912,35.5017776
33.8584785,35.5262794
33.8937912,35.5017776
33.8937912,35.5017776
33.8937912,35.5017776
33.8937912,35.5017776
33.8952103,35.4868279
33.8886299,35.4954796
33.8937912,35.5017776
33.8937912,35.5017776
33.8937912,35.5017776
33.8915863,35.5054779
33.8915863,35.5054779
33.8915863,35.5054779
33.8886299,35.4954796
33.8886299,35.4954796
33.8937912,35.5017776
33.8886299,35.4954796
33.8886299,35.4954796
33.8979454,35.4902496
33.8886299,35.4954796
33.8886299,35.4954796
33.8915863,35.5054779
33.8886299,35.4954796
33.8903122,35.5062675
33.9004669,35.4951096
33.8886299,35.4954796
33.9004669,35.4951096
33.8900566,35.5262985
33.8649750,35.5622215
33.8886299,35.4954796
33.8983040,35.5353928
33.8937912,35.5017776
33.8937912,35.5017776
33.8937912,35.5017776
33.8903122,35.5062675
33.8937912,35.5017776
33.8937912,35.5017776
33.8649750,35.5622215
33.8937912,35.5017776
33.8649750,35.5622215
33.8980865,35.5340004
33.8886299,35.4954796
33.8980865,35.5340004
33.8937912,35.5017776
33.8937912,35.5017776
33.8980865,35.5340004
33.8694992,35.5372238
33.8937912,35.5017776
33.8937912,35.5017776
33.8937912,35.5017776
33.8707275,35.4893112
33.8802719,35.5140457
33.8765411,35.5117340
33.9024620,35.4821815
33.8937912,35.5017776
33.8937912,35.5017776
33.8937912,35.5017776
33.8937912,35.5017776
33.8937912,35.5017776
33.8937912,35.5017776
33.8937912,35.5017776
33.8983040,35.5353928
33.8886299,35.4954796
33.9015121,35.5236855
33.9015121,35.5236855
33.8649750,35.5622215
33.9002190,35.5199661
33.8937912,35.5017776
33.8694992,35.5372238
33.9015121,35.5236855
33.8937912,35.5017776
33.8886299,35.4954796
33.8886299,35.4954796
33.8937912,35.5017776
33.8937912,35.5017776
33.8785973,35.5114250
33.8937912,35.5017776
33.8785973,35.5114250
33.8983040,35.5353928
33.8802719,35.5140457
33.8915863,35.5054779
33.8886299,35.4954796
33.8886299,35.4954796
33.8886299,35.4954796
33.8886299,35.4954796
33.8886299,35.4954796
33.8937912,35.5017776
33.8966179,35.4822998
33.8937912,35.5017776
33.8937912,35.5017776
33.8937912,35.5017776
33.8980865,35.5340004
33.8980865,35.5340004
33.8886299,35.4954796
33.8937912,35.5017776
33.8856583,35.4841766
33.8937912,35.5017776
33.8886299,35.4954796
33.8649750,35.5622215
33.8886299,35.4954796
33.8886299,35.4954796
33.8937912,35.5017776
33.8886299,35.4954796
33.8886299,35.4954796
33.8886299,35.4954796
33.8886299,35.4954796
33.8915863,35.5054779
33.8937912,35.5017776
33.8802719,35.5140457
33.8802719,35.5140457
33.8802719,35.5140457
33.8886299,35.4954796
33.8886299,35.4954796
33.8886299,35.4954796
33.8915863,35.5054779
33.8886299,35.4954796
33.8886299,35.4954796
33.9001694,35.5038643
33.8886299,35.4954796
33.8886299,35.4954796
33.8649750,35.5622215
33.8802719,35.5140457
33.8983040,35.5353928
33.8886299,35.4954796
33.8937912,35.5017776
33.8983040,35.5353928
33.8698349,35.5369034
33.8937912,35.5017776
33.8937912,35.5017776
33.8937912,35.5017776
33.8937912,35.5017776
33.8980865,35.5340004
33.8886299,35.4954796
33.8649750,35.5622215
33.8886299,35.4954796
33.8937912,35.5017776
33.8937912,35.5017776
33.8983040,35.5353928
33.8937912,35.5017776
33.8886299,35.4954796
33.8886299,35.4954796
33.8649750,35.5622215
33.8886299,35.4954796
33.8886299,35.4954796
33.8915863,35.5054779
33.8848686,35.5178947
33.8937912,35.5017776
33.8876152,35.5210838
33.8903122,35.5062675
33.8980865,35.5340004
33.8886299,35.4954796
