"latitude","longitude"
40.7127838,-74.0059433
40.7127838,-74.0059433
40.7295151,-73.9964600
40.7295151,-73.9964600
40.7248802,-74.0063477
40.7210579,-73.9943848
40.7482986,-73.9906540
40.7457504,-74.0085983
40.7480545,-73.9947510
40.7274132,-74.0059814
40.7079315,-74.0064621
40.7054825,-74.0095901
40.7616539,-73.9702148
40.7262573,-73.9966660
40.7415543,-73.9902649
40.7405243,-73.9856262
40.7253914,-74.0060883
40.7521629,-73.9728317
40.7393913,-73.9892883
40.7314110,-73.9969864
40.7260208,-74.0053635
40.7393570,-73.9928970
40.7393570,-73.9928970
40.7399788,-73.9924850
40.7243118,-73.9973373
40.7332726,-73.9928055
40.7465591,-73.9811859
40.7411118,-73.9874496
40.7481232,-73.9938812
40.7540703,-73.9912720
40.7203903,-73.9983139
40.7092056,-74.0061951
40.7253952,-74.0048065
40.7358475,-73.9859085
40.7481155,-73.9843979
40.7448692,-73.9967422
40.7258720,-73.9930649
40.7436981,-73.9894104
40.7536240,-73.9865494
40.7557220,-73.9933701
40.7393913,-73.9892883
40.7295151,-73.9922867
40.7372971,-73.9921875
40.7450714,-73.9926300
40.7474060,-73.9956207
40.7413559,-74.0032043
40.7382736,-73.9822845
40.7416229,-73.9909897
40.7249184,-73.9968796
40.7437935,-73.9890366
40.7534790,-73.9720459
40.7197762,-74.0002289
40.7456551,-73.9861603
40.7272224,-73.9948044
40.7453728,-73.9821091
40.7395668,-73.9893951
40.7361259,-73.9955139
40.7397499,-73.9898834
40.7450714,-73.9926300
40.7268677,-74.0077362
40.7205849,-74.0014725
40.7525291,-73.9676971
40.7493706,-73.9938583
40.7387695,-73.9883118
40.7522507,-73.9785080
40.7384758,-73.9941254
40.7175102,-73.9909210
40.7159958,-73.9928055
40.7454834,-73.9916687
40.7441559,-73.9883881
40.7466240,-73.9854202
40.7472000,-73.9908295
40.7250633,-73.9976959
40.7175102,-73.9909210
40.7226944,-73.9984741
40.7404060,-74.0068283
40.7821617,-73.9489517
40.7204399,-73.9982224
40.7418518,-73.9914169
40.7373047,-73.9913177
40.7377853,-73.9887390
40.7404060,-74.0068283
40.7313004,-74.0085220
40.7416878,-73.9905777
40.7510910,-73.9835892
40.7453728,-73.9821091
40.7261124,-73.9956207
40.7395706,-73.9943161
40.7522812,-73.9844894
40.7554207,-73.9927292
40.7272224,-73.9948044
40.7542953,-73.9911346
40.7395973,-73.9883652
40.7544365,-73.9796906
40.7440681,-73.9910355
40.6772804,-74.0094452
40.7105217,-74.0104294
40.7551041,-73.9854584
40.7172966,-74.0027084
40.7259026,-74.0062332
40.7557144,-73.9888611
40.7450714,-73.9926300
40.7404060,-74.0068283
40.7486420,-73.9942322
40.7243118,-73.9973373
40.7566261,-73.9697571
40.7393913,-73.9892883
40.7477150,-73.9878082
40.7559929,-73.9785004
40.7068748,-74.0043869
40.7205849,-74.0014725
40.7484207,-73.9905319
40.7250252,-73.9967957
40.7384491,-73.9886932
40.7469826,-73.9853439
40.7393913,-73.9892883
40.7385750,-73.9871521
40.7155418,-74.0055923
40.7277527,-74.0076981
40.7411766,-73.9932251
40.7481232,-73.9938812
40.7504883,-73.9806290
40.7218933,-74.0003586
40.7455711,-73.9941559
40.7202034,-73.9986725
40.7588348,-73.9808350
40.7429504,-73.9838791
40.7070885,-74.0035477
40.7450714,-73.9926300
40.7547188,-73.9938965
40.7547188,-73.9938965
40.7568054,-73.9856796
40.7453156,-73.9801712
40.7400055,-73.9930801
40.7409554,-74.0069733
40.7513199,-73.9821472
40.7332420,-73.9908981
40.7789993,-73.9879837
40.7061615,-74.0137100
40.7453728,-73.9821091
40.7144165,-74.0072632
40.7662430,-73.9691010
40.7450714,-73.9926300
40.7515869,-73.9868774
40.7413254,-73.9907074
40.7396927,-73.9859772
40.7411766,-73.9932251
40.7418518,-73.9955750
40.7266388,-73.9894943
40.7272224,-73.9948044
40.7481232,-73.9938812
40.7503395,-73.9784546
40.7457848,-73.9847183
40.7427483,-73.9833069
40.7452812,-73.9939499
40.7283287,-73.9914780
40.7453308,-73.9929504
40.7283287,-73.9914780
40.7377853,-73.9887390
40.7453728,-73.9821091
40.7274208,-74.0059586
40.7250252,-73.9967957
40.7519798,-73.9940643
40.7388344,-73.9938660
40.7144165,-74.0072632
40.7083397,-74.0071640
40.7047577,-74.0085449
40.7288628,-73.9964142
40.7393913,-73.9892883
40.7769051,-73.9800644
40.7580299,-73.9628754
40.7544975,-73.9921875
40.7506332,-73.9853058
40.7541580,-73.9797974
40.7525978,-73.9928055
40.7371330,-73.9879532
40.7396927,-73.9859772
40.7332726,-73.9928055
40.7283287,-73.9914780
40.7393913,-73.9892883
40.7436981,-73.9894104
40.7455788,-74.0076981
40.7227097,-73.9974670
40.7439346,-73.9886703
40.7175102,-73.9909210
40.7201576,-74.0008240
40.7832260,-73.9778748
40.7393913,-73.9892883
40.7068748,-74.0043869
40.7393913,-73.9892883
40.7331886,-74.0035324
40.7046852,-74.0112305
40.7522697,-73.9910889
40.7338562,-74.0030746
40.7353287,-73.9884720
40.7593727,-73.9725342
40.7404060,-74.0068283
40.7418365,-73.9928818
40.7313004,-74.0085220
40.7358742,-73.9939728
40.7520981,-73.9906921
40.7250786,-73.9990616
40.7249184,-73.9968796
40.7283287,-73.9914780
40.7393913,-73.9892883
40.7346153,-73.9910736
40.7417793,-74.0045013
40.7550507,-73.9918289
40.7465973,-74.0068817
40.7384491,-73.9886932
40.7481232,-73.9938812
40.7592583,-73.9707413
40.7043419,-74.0118561
40.7073975,-74.0126038
40.7423477,-73.9862900
40.7436981,-73.9894104
40.7395973,-73.9883652
40.7243118,-73.9973373
40.7618141,-73.9833908
40.7490044,-73.9942398
40.7226677,-73.9987564
40.7358742,-73.9939728
40.7578506,-73.9866867
40.7274208,-74.0059586
40.7446289,-73.9877167
40.7144165,-74.0072632
40.7277527,-74.0076981
40.7377281,-73.9893494
40.7628365,-73.9824677
40.7038689,-74.0138550
40.7413254,-73.9907074
40.7212296,-73.9977188
40.7391548,-73.9928055
40.7306023,-73.9915237
40.7313004,-74.0085220
40.7390480,-73.9935455
40.7640915,-73.9700699
40.7447968,-73.9938812
40.7201805,-73.9998169
40.7332726,-73.9928055
40.7446442,-73.9896774
